State_Name,Crop_Type,Crop,N,P,K,pH,rainfall,temperature,Area_in_hectares,Production_in_tons
andaman and nicobar islands,whole year,blackpepper,100,60,50,5.18,3322.0599999999995,27.036363636363635,570.0,104.36
andaman and nicobar islands,whole year,cashewnuts,70,40,60,5.94,3322.0599999999995,27.036363636363635,116.5,25.1
andaman and nicobar islands,kharif,grapes,120,41,39,6.31,319.79,22.95,12471.0,11643.0
andaman and nicobar islands,summer,orange,75,23,36,6.33,465.56,25.38,19301.0,1016.0
andaman and nicobar islands,whole year,tapioca,50,50,50,5.32,3322.0599999999995,27.036363636363635,69.0,575.0
andaman and nicobar islands,kharif,rice,80,40,40,5.6,1925.68,27.0,6791.0,20118.0
andaman and nicobar islands,rabi,arecanut,100,40,140,6.08,865.9399999999999,26.6,1296.0,2290.0
andaman and nicobar islands,whole year,tapioca,50,50,50,5.54,3322.0599999999995,27.036363636363635,160.0,2108.0
andaman and nicobar islands,whole year,arecanut,100,40,140,5.84,3322.0599999999995,27.036363636363635,1258.0,2083.0
andaman and nicobar islands,kharif,ladyfinger,50,49,23,6.51,440.82,23.78,3757.0,2409.0
andaman and nicobar islands,summer,barley,40,35,34,5.77,244.55,25.99,17781.0,7857.0
andaman and nicobar islands,kharif,drumstick,118,22,23,5.46,150.19,22.84,2992.0,3821.0
andaman and nicobar islands,summer,jute,99,46,40,6.67,500.37,26.26,12258.0,9713.0
andaman and nicobar islands,whole year,tapioca,50,50,50,5.36,3322.0599999999995,27.036363636363635,22.5,220.0
andaman and nicobar islands,whole year,banana,100,75,50,6.42,3322.0599999999995,27.036363636363635,360.0,5517.0
andaman and nicobar islands,rabi,turmeric,25,60,100,5.18,865.9399999999999,26.6,10.0,105.0
andaman and nicobar islands,rabi,sweetpotato,90,20,120,5.04,865.9399999999999,26.6,32.0,235.0
andaman and nicobar islands,rabi,sunflower,50,60,30,5.5,865.9399999999999,26.6,1.0,0.5
andaman and nicobar islands,rabi,maize,80,40,20,5.36,865.9399999999999,26.6,73.0,253.0
andaman and nicobar islands,rabi,cashewnuts,70,40,60,5.86,865.9399999999999,26.6,15.0,10.5
andaman and nicobar islands,rabi,blackpepper,100,60,50,5.0,865.9399999999999,26.6,409.0,98.0
andaman and nicobar islands,rabi,arecanut,100,40,140,5.84,865.9399999999999,26.6,1912.0,1900.0
andaman and nicobar islands,kharif,rice,80,40,40,5.64,1925.68,27.0,1595.5,3788.0
andaman and nicobar islands,whole year,tapioca,50,50,50,5.4,3322.0599999999995,27.036363636363635,186.5,1355.0
andaman and nicobar islands,whole year,banana,100,75,50,6.56,3322.0599999999995,27.036363636363635,657.0,7968.0
andaman and nicobar islands,rabi,turmeric,25,60,100,4.82,865.9399999999999,26.6,68.0,376.5
andaman and nicobar islands,rabi,sweetpotato,90,20,120,5.0,865.9399999999999,26.6,109.0,480.0
andaman and nicobar islands,rabi,sunflower,50,60,30,5.52,865.9399999999999,26.6,2.9,1.9
andaman and nicobar islands,rabi,moong,20,40,20,5.36,865.9399999999999,26.6,1168.6,556.55
andaman and nicobar islands,rabi,maize,80,40,20,5.56,865.9399999999999,26.6,86.7,96.4
andaman and nicobar islands,rabi,cashewnuts,70,40,60,6.16,865.9399999999999,26.6,84.5,39.0
andaman and nicobar islands,rabi,blackpepper,100,60,50,5.14,865.9399999999999,26.6,168.0,13.5
andaman and nicobar islands,summer,apple,66,40,40,6.45,262.46,27.82,14421.0,17468.0
andaman and nicobar islands,summer,jackfruit,86,52,39,5.72,596.32,23.35,16799.0,6990.0
andaman and nicobar islands,rabi,pumpkin,120,37,26,5.91,518.8,26.45,19673.0,9472.0
andaman and nicobar islands,whole year,cardamom,88,23,25,5.61,648.79,27.41,16167.0,13733.0
andaman and nicobar islands,whole year,tapioca,50,50,50,5.52,3322.0599999999995,27.036363636363635,52.03,450.0
andaman and nicobar islands,whole year,bottlegourd,96,20,22,6.35,564.68,25.14,4258.0,14981.0
andaman and nicobar islands,whole year,turmeric,25,60,100,5.06,3322.0599999999995,27.036363636363635,2.5,1.03
andaman and nicobar islands,whole year,pumpkin,64,35,28,6.6,237.4,23.15,13636.0,8540.0
andaman and nicobar islands,kharif,rice,80,40,40,5.56,1925.68,27.0,6854.3,18995.62
andaman and nicobar islands,whole year,arecanut,100,40,140,5.86,3322.0599999999995,27.036363636363635,1160.0,3011.7
andaman and nicobar islands,whole year,banana,100,75,50,6.42,3322.0599999999995,27.036363636363635,957.57,8582.0
andaman and nicobar islands,whole year,blackpepper,100,60,50,4.84,3322.0599999999995,27.036363636363635,175.0,191.14
andaman and nicobar islands,rabi,drumstick,20,36,22,5.65,553.72,26.66,10542.0,5148.0
andaman and nicobar islands,whole year,cashewnuts,70,40,60,6.16,3322.0599999999995,27.036363636363635,40.5,44.0
andaman and nicobar islands,whole year,sweetpotato,90,20,120,5.14,3322.0599999999995,27.036363636363635,30.0,240.0
andaman and nicobar islands,kharif,cotton,117,33,36,5.98,525.06,27.43,9984.0,15672.0
andaman and nicobar islands,rabi,apple,94,23,24,5.83,255.06,26.0,5722.0,8517.0
andaman and nicobar islands,whole year,tapioca,50,50,50,5.38,3322.0599999999995,27.036363636363635,255.0,1420.0
andaman and nicobar islands,whole year,turmeric,25,60,100,5.18,3322.0599999999995,27.036363636363635,68.0,408.0
andaman and nicobar islands,kharif,rice,80,40,40,5.34,1925.68,27.0,921.87,2539.64
andaman and nicobar islands,whole year,arecanut,100,40,140,6.1,3322.0599999999995,27.036363636363635,2000.0,2350.0
andaman and nicobar islands,rabi,drumstick,63,58,23,5.88,319.99,22.68,13800.0,15765.0
andaman and nicobar islands,whole year,banana,100,75,50,6.58,3322.0599999999995,27.036363636363635,483.0,4150.0
andaman and nicobar islands,whole year,blackpepper,100,60,50,4.88,3322.0599999999995,27.036363636363635,413.1,20.18
andaman and nicobar islands,whole year,cashewnuts,70,40,60,6.08,3322.0599999999995,27.036363636363635,79.5,26.0
andaman and nicobar islands,whole year,sweetpotato,90,20,120,4.92,3322.0599999999995,27.036363636363635,30.4,220.0
andaman and nicobar islands,whole year,tapioca,50,50,50,5.66,3322.0599999999995,27.036363636363635,40.0,160.0
andaman and nicobar islands,whole year,turmeric,25,60,100,4.96,3322.0599999999995,27.036363636363635,10.0,60.0
andaman and nicobar islands,rabi,coffee,91,23,21,5.68,345.22,24.97,4300.0,13405.0
andaman and nicobar islands,whole year,sweetpotato,90,20,120,4.92,3322.0599999999995,27.036363636363635,18.0,86.0
andaman and nicobar islands,whole year,sweetpotato,90,20,120,4.9,3322.0599999999995,27.036363636363635,78.0,843.0
andaman and nicobar islands,whole year,cashewnuts,70,40,60,6.06,3322.0599999999995,27.036363636363635,450.0,85.13
andaman and nicobar islands,whole year,banana,100,75,50,6.4,3322.0599999999995,27.036363636363635,198.0,976.0
andaman and nicobar islands,whole year,soyabean,107,48,35,6.04,623.62,29.21,13578.0,2941.0
andaman and nicobar islands,kharif,rice,80,40,40,5.54,1925.68,27.0,52.0,90.17
andaman and nicobar islands,whole year,arecanut,100,40,140,6.1,3322.0599999999995,27.036363636363635,1261.0,1525.0
andaman and nicobar islands,summer,sesamum,91,25,22,6.0,628.91,28.37,7326.0,17217.0
andaman and nicobar islands,whole year,banana,100,75,50,6.66,3322.0599999999995,27.036363636363635,266.0,1763.0
andaman and nicobar islands,whole year,blackpepper,100,60,50,5.08,3322.0599999999995,27.036363636363635,75.5,15.86
andaman and nicobar islands,whole year,cashewnuts,70,40,60,5.96,3322.0599999999995,27.036363636363635,717.0,208.5
andaman and nicobar islands,kharif,rice,80,40,40,5.68,1925.68,27.0,10509.37,30760.7
andaman and nicobar islands,whole year,arecanut,100,40,140,5.86,3322.0599999999995,27.036363636363635,3118.0,5182.0
andaman and nicobar islands,kharif,jute,107,33,22,6.01,229.82,25.38,13064.0,6518.0
andaman and nicobar islands,summer,maize,63,51,33,6.22,159.24,26.12,18810.0,7553.0
andaman and nicobar islands,whole year,banana,100,75,50,6.36,3322.0599999999995,27.036363636363635,1530.0,11558.0
andaman and nicobar islands,rabi,maize,30,31,24,5.78,198.57,26.83,11795.0,15469.0
andaman and nicobar islands,whole year,blackpepper,100,60,50,5.04,3322.0599999999995,27.036363636363635,497.0,104.37
andaman and nicobar islands,whole year,cashewnuts,70,40,60,6.06,3322.0599999999995,27.036363636363635,116.5,26.14
andaman and nicobar islands,kharif,garlic,58,28,38,6.31,571.69,28.5,18148.0,19505.0
andaman and nicobar islands,rabi,arecanut,110,53,25,5.8,539.34,28.01,13355.0,4218.0
andaman and nicobar islands,kharif,potato,38,40,31,5.58,545.84,23.12,1353.0,19542.0
andaman and nicobar islands,summer,jackfruit,93,29,28,5.81,394.01,24.13,18030.0,4351.0
andaman and nicobar islands,rabi,banana,92,36,29,6.68,526.07,23.69,10730.0,2597.0
andaman and nicobar islands,rabi,grapes,42,51,31,6.53,150.8,29.08,6815.0,9731.0
andaman and nicobar islands,kharif,bottlegourd,33,31,34,5.87,585.09,26.15,3858.0,12017.0
andaman and nicobar islands,whole year,sweetpotato,69,39,24,5.98,192.23,25.96,17159.0,19465.0
andaman and nicobar islands,kharif,beetroot,70,54,28,5.95,549.67,22.42,3414.0,10024.0
andaman and nicobar islands,whole year,arecanut,100,40,140,5.96,3322.0599999999995,27.036363636363635,896.0,477.6
andaman and nicobar islands,whole year,blackpepper,100,60,50,4.94,3322.0599999999995,27.036363636363635,22.16,0.68
andaman and nicobar islands,whole year,cashewnuts,70,40,60,6.0,3322.0599999999995,27.036363636363635,80.0,54.0
andaman and nicobar islands,rabi,moong,20,40,20,5.62,865.9399999999999,26.6,29.9,17.85
andaman and nicobar islands,kharif,rice,80,40,40,5.42,1925.68,27.0,10779.0,31863.0
andaman and nicobar islands,kharif,rice,80,40,40,5.36,1925.68,27.0,2.09,12.06
andaman and nicobar islands,whole year,banana,100,75,50,6.6,3322.0599999999995,27.036363636363635,22.0,582.0
andaman and nicobar islands,whole year,blackpepper,100,60,50,4.88,3322.0599999999995,27.036363636363635,41.0,0.1
andaman and nicobar islands,whole year,cashewnuts,70,40,60,6.08,3322.0599999999995,27.036363636363635,450.0,55.8
andaman and nicobar islands,whole year,turmeric,25,60,100,4.92,3322.0599999999995,27.036363636363635,10.0,70.0
andaman and nicobar islands,kharif,rice,80,40,40,5.48,1925.68,27.0,8683.38,25870.98
andaman and nicobar islands,whole year,arecanut,100,40,140,6.0,3322.0599999999995,27.036363636363635,3250.78,3058.46
andaman and nicobar islands,whole year,banana,100,75,50,6.38,3322.0599999999995,27.036363636363635,1656.8,10251.13
andaman and nicobar islands,kharif,bottlegourd,89,51,33,6.36,276.33,26.78,2182.0,13859.0
andaman and nicobar islands,whole year,blackpepper,100,60,50,4.82,3322.0599999999995,27.036363636363635,656.45,35.95
andaman and nicobar islands,whole year,cashewnuts,70,40,60,5.98,3322.0599999999995,27.036363636363635,118.5,30.22
andaman and nicobar islands,kharif,arecanut,100,40,140,5.86,1925.68,27.0,1254.0,2000.0
andaman and nicobar islands,whole year,sweetpotato,90,20,120,5.08,3322.0599999999995,27.036363636363635,131.9,700.35
andaman and nicobar islands,kharif,arecanut,100,40,140,6.06,1925.68,27.0,1254.0,2061.0
andaman and nicobar islands,kharif,onion,90,28,36,5.74,250.29,24.04,4067.0,17573.0
andaman and nicobar islands,kharif,rapeseed,21,37,26,5.61,354.53,26.96,10627.0,19495.0
andaman and nicobar islands,whole year,rice,102,34,30,6.05,649.83,25.15,356.0,5819.0
andaman and nicobar islands,whole year,sweetpotato,90,20,120,5.04,3322.0599999999995,27.036363636363635,100.0,5.0
andaman and nicobar islands,whole year,banana,100,75,50,6.4,3322.0599999999995,27.036363636363635,1531.0,12073.0
andaman and nicobar islands,whole year,cashewnuts,70,40,60,5.96,3322.0599999999995,27.036363636363635,81.0,33.0
andaman and nicobar islands,kharif,rice,80,40,40,5.32,1925.68,27.0,9718.0,27033.0
andaman and nicobar islands,kharif,arecanut,100,40,140,6.16,1925.68,27.0,3100.0,5239.0
andaman and nicobar islands,whole year,sweetpotato,90,20,120,5.16,3322.0599999999995,27.036363636363635,11.0,33.0
andaman and nicobar islands,whole year,cashewnuts,70,40,60,6.1,3322.0599999999995,27.036363636363635,719.0,192.0
andaman and nicobar islands,whole year,tapioca,50,50,50,5.42,3322.0599999999995,27.036363636363635,254.5,1480.0
andaman and nicobar islands,kharif,rice,80,40,40,5.64,1925.68,27.0,102.0,321.0
andaman and nicobar islands,whole year,turmeric,25,60,100,4.82,3322.0599999999995,27.036363636363635,81.7,572.0
andaman and nicobar islands,kharif,rice,80,40,40,5.64,1925.68,27.0,83.0,300.0
andaman and nicobar islands,whole year,blackpepper,100,60,50,5.14,3322.0599999999995,27.036363636363635,63.0,13.5
andaman and nicobar islands,whole year,cashewnuts,70,40,60,6.04,3322.0599999999995,27.036363636363635,720.0,165.0
andaman and nicobar islands,whole year,cashewnuts,70,40,60,5.94,3322.0599999999995,27.036363636363635,719.0,208.0
andaman and nicobar islands,kharif,rice,80,40,40,5.42,1925.68,27.0,10695.8,31600.82
andaman and nicobar islands,whole year,arecanut,100,40,140,5.82,3322.0599999999995,27.036363636363635,3105.0,5267.0
andaman and nicobar islands,whole year,blackpepper,100,60,50,5.14,3322.0599999999995,27.036363636363635,487.0,102.5
andaman and nicobar islands,whole year,cashewnuts,70,40,60,5.86,3322.0599999999995,27.036363636363635,81.0,24.0
andaman and nicobar islands,whole year,banana,100,75,50,6.68,3322.0599999999995,27.036363636363635,176.0,641.0
andaman and nicobar islands,whole year,banana,100,75,50,6.32,3322.0599999999995,27.036363636363635,213.0,1278.0
andaman and nicobar islands,whole year,sweetpotato,90,20,120,5.0,3322.0599999999995,27.036363636363635,5.0,15.0
andaman and nicobar islands,whole year,banana,100,75,50,6.66,3322.0599999999995,27.036363636363635,1524.0,10882.0
andaman and nicobar islands,whole year,tapioca,50,50,50,5.48,3322.0599999999995,27.036363636363635,40.0,169.0
andaman and nicobar islands,kharif,arecanut,100,40,140,5.9,1925.68,27.0,3100.0,5200.0
andhra pradesh,kharif,rice,80,40,40,5.32,654.34,29.26666666666667,96000.0,195000.0
andhra pradesh,rabi,horsegram,20,60,20,6.14,288.3,25.46,19884.0,9723.0
andhra pradesh,kharif,sesamum,30,15,30,6.64,654.34,29.26666666666667,14603.0,2570.0
andhra pradesh,kharif,rice,80,40,40,5.58,654.34,29.26666666666667,117452.0,281532.0
andhra pradesh,kharif,ragi,50,40,20,5.62,654.34,29.26666666666667,4184.0,5468.0
andhra pradesh,kharif,moong,20,40,20,5.34,654.34,29.26666666666667,823.0,320.0
andhra pradesh,kharif,maize,80,40,20,5.42,654.34,29.26666666666667,2920.0,8903.0
andhra pradesh,kharif,jowar,80,40,40,5.46,654.34,29.26666666666667,391.0,291.0
andhra pradesh,kharif,cotton,120,40,20,5.44,654.34,29.26666666666667,11062.0,11452.0
andhra pradesh,whole year,tapioca,50,50,50,5.54,1037.32,28.081818181818186,298.0,1155.0
andhra pradesh,whole year,sweetpotato,90,20,120,5.16,1037.32,28.081818181818186,128.0,334.0
andhra pradesh,whole year,sunflower,50,60,30,5.38,1037.32,28.081818181818186,213.0,171.0
andhra pradesh,kharif,sesamum,30,15,30,6.48,654.34,29.26666666666667,3000.0,1000.0
andhra pradesh,whole year,potato,180,60,90,4.82,1037.32,28.081818181818186,134.0,1134.0
andhra pradesh,kharif,sunflower,50,60,30,5.56,654.34,29.26666666666667,4000.0,3000.0
andhra pradesh,whole year,cashewnuts,70,40,60,5.9,1037.32,28.081818181818186,30626.0,10188.0
andhra pradesh,whole year,turmeric,25,60,100,4.94,1037.32,28.081818181818186,1530.0,3657.0
andhra pradesh,rabi,jowar,80,40,40,5.44,288.3,25.46,29.0,63.0
andhra pradesh,rabi,maize,80,40,20,5.68,288.3,25.46,8671.0,32100.0
andhra pradesh,kharif,jowar,80,40,40,5.66,654.34,29.26666666666667,2000.0,3000.0
andhra pradesh,rabi,maize,80,40,20,5.56,288.3,25.46,4000.0,21000.0
andhra pradesh,rabi,horsegram,20,60,20,6.04,288.3,25.46,4000.0,2000.0
andhra pradesh,rabi,onion,120,60,65,6.06,288.3,25.46,398.0,4747.0
andhra pradesh,rabi,ragi,50,40,20,5.36,288.3,25.46,2000.0,3000.0
andhra pradesh,rabi,rice,80,40,40,5.6,288.3,25.46,80000.0,287000.0
andhra pradesh,rabi,sunflower,50,60,30,5.66,288.3,25.46,36000.0,50000.0
andhra pradesh,rabi,jowar,80,40,40,5.34,288.3,25.46,2000.0,2000.0
andhra pradesh,kharif,cotton,120,40,20,5.46,654.34,29.26666666666667,5000.0,20000.0
andhra pradesh,kharif,rice,80,40,40,5.6,654.34,29.26666666666667,46000.0,162000.0
andhra pradesh,kharif,sunflower,50,60,30,5.64,654.34,29.26666666666667,3000.0,2000.0
andhra pradesh,rabi,moong,20,40,20,5.66,288.3,25.46,18605.0,8875.0
andhra pradesh,kharif,sesamum,30,15,30,6.66,654.34,29.26666666666667,15000.0,8000.0
andhra pradesh,rabi,moong,20,40,20,5.54,288.3,25.46,3000.0,1000.0
andhra pradesh,kharif,rice,80,40,40,5.66,654.34,29.26666666666667,47000.0,173000.0
andhra pradesh,kharif,moong,20,40,20,5.48,654.34,29.26666666666667,26000.0,11000.0
andhra pradesh,kharif,sesamum,30,15,30,6.42,654.34,29.26666666666667,5000.0,1000.0
andhra pradesh,whole year,banana,100,75,50,6.44,1037.32,28.081818181818186,1609.0,12177.0
andhra pradesh,whole year,sunflower,50,60,30,5.54,1037.32,28.081818181818186,3498.0,2844.0
andhra pradesh,rabi,sesamum,30,15,30,6.48,288.3,25.46,2481.0,511.0
andhra pradesh,rabi,maize,80,40,20,5.34,288.3,25.46,1474.0,11168.0
andhra pradesh,rabi,jowar,80,40,40,5.56,288.3,25.46,9.0,19.0
andhra pradesh,rabi,horsegram,20,60,20,6.04,288.3,25.46,3758.0,2195.0
andhra pradesh,kharif,sesamum,30,15,30,6.5,654.34,29.26666666666667,5896.0,1008.0
andhra pradesh,kharif,rice,80,40,40,5.62,654.34,29.26666666666667,93133.0,178070.0
andhra pradesh,kharif,ragi,50,40,20,5.5,654.34,29.26666666666667,28746.0,24549.0
andhra pradesh,kharif,onion,120,60,65,5.88,654.34,29.26666666666667,51.0,855.0
andhra pradesh,rabi,sesamum,30,15,30,6.58,288.3,25.46,4471.0,729.0
andhra pradesh,kharif,moong,20,40,20,5.36,654.34,29.26666666666667,1744.0,678.0
andhra pradesh,kharif,maize,80,40,20,5.5,654.34,29.26666666666667,7042.0,9253.0
andhra pradesh,kharif,jowar,80,40,40,5.32,654.34,29.26666666666667,1021.0,759.0
andhra pradesh,kharif,horsegram,20,60,20,6.18,654.34,29.26666666666667,179.0,78.0
andhra pradesh,kharif,cotton,120,40,20,5.42,654.34,29.26666666666667,847.0,2606.0
andhra pradesh,whole year,turmeric,25,60,100,4.94,1037.32,28.081818181818186,267.0,1570.0
andhra pradesh,whole year,tapioca,50,50,50,5.42,1037.32,28.081818181818186,189.0,2005.0
andhra pradesh,whole year,banana,100,75,50,6.38,1037.32,28.081818181818186,2131.0,42401.0
andhra pradesh,whole year,sweetpotato,90,20,120,5.06,1037.32,28.081818181818186,26.0,280.0
andhra pradesh,rabi,rice,80,40,40,5.48,288.3,25.46,3425.0,7223.0
andhra pradesh,rabi,ragi,50,40,20,5.42,288.3,25.46,1420.0,2405.0
andhra pradesh,rabi,onion,120,60,65,6.0,288.3,25.46,1444.0,16482.0
andhra pradesh,rabi,moong,20,40,20,5.52,288.3,25.46,2907.0,1087.0
andhra pradesh,rabi,sunflower,50,60,30,5.42,288.3,25.46,9000.0,7000.0
andhra pradesh,kharif,cotton,120,40,20,5.4,654.34,29.26666666666667,2000.0,7000.0
andhra pradesh,whole year,cashewnuts,70,40,60,5.88,1037.32,28.081818181818186,20943.0,7226.0
andhra pradesh,kharif,moong,20,40,20,5.34,654.34,29.26666666666667,2000.0,1000.0
andhra pradesh,kharif,ragi,50,40,20,5.52,654.34,29.26666666666667,2000.0,2000.0
andhra pradesh,kharif,rice,80,40,40,5.54,654.34,29.26666666666667,201000.0,613000.0
andhra pradesh,kharif,ragi,50,40,20,5.68,654.34,29.26666666666667,28000.0,34000.0
andhra pradesh,rabi,rice,80,40,40,5.32,288.3,25.46,2614.0,5301.0
andhra pradesh,rabi,rice,80,40,40,5.32,288.3,25.46,188000.0,695000.0
andhra pradesh,kharif,maize,80,40,20,5.56,654.34,29.26666666666667,7000.0,9000.0
andhra pradesh,rabi,sunflower,50,60,30,5.36,288.3,25.46,5000.0,7000.0
andhra pradesh,rabi,ragi,50,40,20,5.34,288.3,25.46,677.0,1179.0
andhra pradesh,rabi,maize,80,40,20,5.64,288.3,25.46,1000.0,11000.0
andhra pradesh,rabi,moong,20,40,20,5.52,288.3,25.46,34000.0,17000.0
andhra pradesh,rabi,onion,120,60,65,5.82,288.3,25.46,2000.0,22000.0
andhra pradesh,rabi,onion,120,60,65,6.12,288.3,25.46,158.0,1884.0
andhra pradesh,rabi,sesamum,30,15,30,6.52,288.3,25.46,6000.0,1000.0
andhra pradesh,rabi,rice,80,40,40,5.56,288.3,25.46,2000.0,6000.0
andhra pradesh,rabi,horsegram,20,60,20,6.0,288.3,25.46,11000.0,6000.0
andhra pradesh,kharif,maize,80,40,20,5.42,654.34,29.26666666666667,2000.0,7000.0
andhra pradesh,rabi,maize,80,40,20,5.52,288.3,25.46,2000.0,16000.0
andhra pradesh,rabi,rice,80,40,40,5.32,288.3,25.46,1000.0,1803.0
andhra pradesh,kharif,maize,80,40,20,5.68,654.34,29.26666666666667,2000.0,6000.0
andhra pradesh,kharif,onion,120,60,65,6.06,654.34,29.26666666666667,1000.0,14000.0
andhra pradesh,kharif,rice,80,40,40,5.6,654.34,29.26666666666667,242000.0,715000.0
andhra pradesh,rabi,horsegram,20,60,20,6.02,288.3,25.46,1000.0,1000.0
andhra pradesh,rabi,maize,80,40,20,5.52,288.3,25.46,6000.0,49000.0
andhra pradesh,rabi,moong,20,40,20,5.64,288.3,25.46,66000.0,10000.0
andhra pradesh,rabi,rice,80,40,40,5.6,288.3,25.46,169000.0,803000.0
andhra pradesh,kharif,cotton,120,40,20,5.34,654.34,29.26666666666667,150000.0,689000.0
andhra pradesh,kharif,moong,20,40,20,5.36,654.34,29.26666666666667,3000.0,1000.0
andhra pradesh,kharif,cotton,120,40,20,5.46,654.34,29.26666666666667,8000.0,18000.0
andhra pradesh,kharif,onion,120,60,65,6.14,654.34,29.26666666666667,1000.0,18000.0
andhra pradesh,kharif,sesamum,30,15,30,6.66,654.34,29.26666666666667,2000.0,1000.0
andhra pradesh,rabi,jowar,80,40,40,5.64,288.3,25.46,3000.0,15000.0
andhra pradesh,rabi,maize,80,40,20,5.66,288.3,25.46,58000.0,517000.0
andhra pradesh,rabi,moong,20,40,20,5.44,288.3,25.46,4000.0,1000.0
andhra pradesh,whole year,sunflower,50,60,30,5.56,1037.32,28.081818181818186,2118.0,1721.0
andhra pradesh,whole year,cashewnuts,70,40,60,6.06,1037.32,28.081818181818186,38718.0,7136.0
andhra pradesh,whole year,banana,100,75,50,6.58,1037.32,28.081818181818186,7427.0,144648.0
andhra pradesh,rabi,sesamum,30,15,30,6.46,288.3,25.46,742.0,147.0
andhra pradesh,rabi,rice,80,40,40,5.46,288.3,25.46,188804.0,875107.0
andhra pradesh,kharif,rice,80,40,40,5.5,654.34,29.26666666666667,283000.0,976000.0
andhra pradesh,rabi,moong,20,40,20,5.62,288.3,25.46,5460.0,2877.0
andhra pradesh,rabi,sunflower,50,60,30,5.48,288.3,25.46,5000.0,6000.0
andhra pradesh,rabi,ragi,50,40,20,5.38,288.3,25.46,1000.0,1000.0
andhra pradesh,whole year,sweetpotato,90,20,120,5.08,1037.32,28.081818181818186,1.0,11.0
andhra pradesh,whole year,turmeric,25,60,100,5.14,1037.32,28.081818181818186,357.0,2099.0
andhra pradesh,kharif,cotton,120,40,20,5.36,654.34,29.26666666666667,3000.0,2000.0
andhra pradesh,kharif,jowar,80,40,40,5.62,654.34,29.26666666666667,4000.0,3000.0
andhra pradesh,kharif,maize,80,40,20,5.32,654.34,29.26666666666667,7000.0,32000.0
andhra pradesh,kharif,onion,120,60,65,6.06,654.34,29.26666666666667,2000.0,38000.0
andhra pradesh,kharif,ragi,50,40,20,5.46,654.34,29.26666666666667,2000.0,4000.0
andhra pradesh,kharif,rice,80,40,40,5.44,654.34,29.26666666666667,30000.0,95000.0
andhra pradesh,kharif,sunflower,50,60,30,5.32,654.34,29.26666666666667,19000.0,10000.0
andhra pradesh,rabi,rice,80,40,40,5.42,288.3,25.46,37000.0,116000.0
andhra pradesh,rabi,jowar,80,40,40,5.68,288.3,25.46,12000.0,8000.0
andhra pradesh,rabi,rice,80,40,40,5.38,288.3,25.46,14000.0,37000.0
andhra pradesh,rabi,sunflower,50,60,30,5.54,288.3,25.46,26000.0,20000.0
andhra pradesh,kharif,horsegram,20,60,20,6.06,654.34,29.26666666666667,4000.0,2000.0
andhra pradesh,kharif,jowar,80,40,40,5.34,654.34,29.26666666666667,1000.0,1000.0
andhra pradesh,kharif,maize,80,40,20,5.66,654.34,29.26666666666667,1000.0,3000.0
andhra pradesh,kharif,ragi,50,40,20,5.44,654.34,29.26666666666667,8000.0,6000.0
andhra pradesh,kharif,rice,80,40,40,5.6,654.34,29.26666666666667,15000.0,42000.0
andhra pradesh,rabi,horsegram,20,60,20,5.94,288.3,25.46,2000.0,1000.0
